0/10108000 (epoch 1) loss: 42.395, gen loss: 28.065, ret loss: 6.905, fp loss: 7.413, KL loss: 0.115. 
10000/10108000 (epoch 1) loss: 12.388, gen loss: 7.467, ret loss: 0.660, fp loss: 2.019, KL loss: 22.421. 
20000/10108000 (epoch 1) loss: 10.333, gen loss: 5.701, ret loss: 0.481, fp loss: 1.619, KL loss: 25.311. 
30000/10108000 (epoch 1) loss: 9.319, gen loss: 4.853, ret loss: 0.404, fp loss: 1.408, KL loss: 26.543. 
40000/10108000 (epoch 1) loss: 8.673, gen loss: 4.320, ret loss: 0.357, fp loss: 1.273, KL loss: 27.223. 
50000/10108000 (epoch 1) loss: 8.224, gen loss: 3.950, ret loss: 0.326, fp loss: 1.181, KL loss: 27.666. 
60000/10108000 (epoch 1) loss: 7.882, gen loss: 3.671, ret loss: 0.303, fp loss: 1.110, KL loss: 27.972. 
70000/10108000 (epoch 1) loss: 7.612, gen loss: 3.451, ret loss: 0.286, fp loss: 1.055, KL loss: 28.199. 
80000/10108000 (epoch 1) loss: 7.396, gen loss: 3.276, ret loss: 0.272, fp loss: 1.010, KL loss: 28.375. 
90000/10108000 (epoch 1) loss: 7.213, gen loss: 3.131, ret loss: 0.261, fp loss: 0.971, KL loss: 28.511. 
100000/10108000 (epoch 1) loss: 7.057, gen loss: 3.006, ret loss: 0.252, fp loss: 0.937, KL loss: 28.619. 
Model checkpoint: save/all_data_10k_vocab/model1.ckpt. Average for epoch , loss: 7.041
110000/10108000 (epoch 2) loss: 5.556, gen loss: 1.825, ret loss: 0.162, fp loss: 0.610, KL loss: 29.578. 
120000/10108000 (epoch 2) loss: 5.511, gen loss: 1.791, ret loss: 0.161, fp loss: 0.601, KL loss: 29.582. 
130000/10108000 (epoch 2) loss: 5.470, gen loss: 1.765, ret loss: 0.159, fp loss: 0.591, KL loss: 29.561. 
140000/10108000 (epoch 2) loss: 5.441, gen loss: 1.745, ret loss: 0.157, fp loss: 0.583, KL loss: 29.549. 
150000/10108000 (epoch 2) loss: 5.414, gen loss: 1.728, ret loss: 0.156, fp loss: 0.576, KL loss: 29.540. 
160000/10108000 (epoch 2) loss: 5.389, gen loss: 1.711, ret loss: 0.155, fp loss: 0.570, KL loss: 29.531. 
170000/10108000 (epoch 2) loss: 5.365, gen loss: 1.695, ret loss: 0.154, fp loss: 0.565, KL loss: 29.516. 
180000/10108000 (epoch 2) loss: 5.345, gen loss: 1.681, ret loss: 0.152, fp loss: 0.560, KL loss: 29.512. 
190000/10108000 (epoch 2) loss: 5.327, gen loss: 1.669, ret loss: 0.152, fp loss: 0.556, KL loss: 29.504. 
200000/10108000 (epoch 2) loss: 5.310, gen loss: 1.657, ret loss: 0.151, fp loss: 0.553, KL loss: 29.500. 
Model checkpoint: save/all_data_10k_vocab/model2.ckpt. Average for epoch , loss: 5.307
210000/10108000 (epoch 3) loss: 5.132, gen loss: 1.537, ret loss: 0.142, fp loss: 0.511, KL loss: 29.411. 
220000/10108000 (epoch 3) loss: 5.119, gen loss: 1.524, ret loss: 0.143, fp loss: 0.510, KL loss: 29.420. 
230000/10108000 (epoch 3) loss: 5.111, gen loss: 1.518, ret loss: 0.142, fp loss: 0.509, KL loss: 29.421. 
240000/10108000 (epoch 3) loss: 5.105, gen loss: 1.514, ret loss: 0.141, fp loss: 0.507, KL loss: 29.423. 
